review_text,rating
가격좋고 편하게 입을 수 있어서 너무 좋은 것 같습니다!,5
기모 없는걸 샀는데 마음에 들어서 기모 있는걸 추가로 구입합니다. 가격 대비 가성비 짱!,4
일년전쯤 구입해 입었다가 편해서 재구입합니다. 편하구 좋씁니다~ 겨울용 기모도 구입예정입니다.,4
질좋구 편합니다. 외출시 암때나 입기 조아요~ 겨울빼구 사계절 입을수 있을듯요.,4
배송빠르고 물건좋습니다 중간핏이라 부담없이 입을수있어요,5
배송빠르고 물건좋습니다 중간핏이라 부담없이 입을수있어요,5
배송빠르고 물건좋아요 딱 적정핏이라 부담없이 입을수있어요,5
배송빠르고 물건좋아요 엉덩이랑 허벅지가 남자한테는 살짝 작네요,5
무난하게 블랙으로 구입했는 데 편하고 좋습니다. 데일리로 입기 편해요,4
두께감 좋고 핏감 좋고 편한데 깔끔하게 느낌내기 좋아요,5
두께감 좋고 핏감 좋고 편한데 깔끔하게 느낌내기 좋아요,5
핏 좋고 재질이 생각보다 좋네요~ 2개 구매했는데 만족합니다,5
